Skill,Skill Definition,Skill Type
Process Management,"Process Management refers to aligning processes with an organization's strategic goals, designing and implementing process architectures, establishing process measurement systems, and educating and organizing managers to manage processes effectively.",Technical
Procurement,"Procurement is an official process of obtaining equipment, materials, supplies or services from an external source.",Technical
Product and Service Knowledge,"Knowledge of methodologies, tools and techniques for specific products and/or services; ability to develop product line processes and strategies.",Technical
Product Design,"Product design describes the process to create a new product to be sold by a business to its customers; the process includes strategic and tactical activities. In a systematic approach, product designers conceptualize and evaluate ideas, turning them into tangible inventions and products.",Technical
Product Development Strategy,"A product development strategy is a comprehensive plan that guides a company in creating, testing, and marketing new products or improving existing ones. It encompasses the entire process, from initial ideation to product launch and beyond, and helps the product team understand the target audience, competition, and market conditions. The product development strategy aims to ensure that the company delivers value to its customers while achieving growth and success in the marketplace.",Technical
Product Requirements,Product Requirements define the expected function and behavior of a product or a feature.,Technical
Product Roadmaps,"Product Roadmaps detail the vision for technical products and/or services and represents the strategic direction, prioritization and timelines  to align stakeholders and guide the product development.",Technical
Professionalism,"Capacity to performing one's job in a collegial, courteous manner, and exhibit composure.",Behavioral
Profit and Loss (P&L) Management,"Profit and loss management is the process of measuring income and expenses, determining how to cut costs and increase revenue, and ensuring that an organization earns a net operating profit.",Technical
Program Management,"Program management is the process of identifying and coordinating the interdependencies among projects, products, and other initiatives across an organization.",Technical
"Programming Language (SQL, Python, R, etc.)","Programming Language is the most widely used for sharing and managing data, particularly data in relational database systems, which include data organized into tables. Programming Language is used to query, update, reorganize, manipulate, and aggregate data to turn large sets of structured data into usable information.",Technical
Project Implementation,Project implementation is the execution and delivery of planned business initiatives.,Technical
Project Management,Project Management is the process of defining and allocating tasks performed by a team in pursuit of particular success metrics within specified time constraints.,Technical
Project Planning,Project planning relates to the creation of documentation which specifies the steps needed for a project to be successfully accomplished within a given timeframe.,Technical
Project Portfolio Management,Project portfolio management centralizes the controls of a company's projects for efficiency and best use of company resources.,Technical
Project Schedules,"A project schedule is a list of a project activities, milestones, and deliverables which are typically targeted for completion within a pre-defined timeframe.",Technical
Project Scoping,"Project scoping is the process of defining the goals, tasks and deliverables of a project or the features and functions of a product.",Technical
Property Management,Property management is the maintenance and operation of real estate.,Technical
Prototyping,"Prototyping is a process of creating an early sample, model, or release of a product built to test a concept or process.",Technical
Public Affairs,"Public affairs is a broad field encompassing public administration, political involvement, lobbying, corporate community involvement, advocacy, and public relations.",Technical
Public Policies,Public policy are the rules and guidelines that reflect a government's views on how their jurisdiction should operate.,Technical
Public Relations,Public relations is the management of the dissemination of information from an organization or individual to the public.,Technical
Public Relations Campaigns,"Public Relations Campaigns is knowledge of planning activities used to disseminate information from an organization or individual to impact public opinion about a product, service, or event.",Technical
Public Speaking,Public speaking is the ability to effectively communicate when addressing a live audience.,Technical
Purchasing,Purchasing is the process a business or organization uses to acquire goods or services to accomplish its goals.,Technical
Qualitative Research,"Qualitative Research refers to knowledge of methods to collect data that is non-numeric and subjective in nature through observation, interviews, questionnaires, focus groups, recordings made in natural settings, documents, and artifacts.",Technical
Quality Assurance,"Quality assurance aims to provide confidence that an organization's quality standards are being met by monitoring the quality of production through audits and other methods of assessment, and confirming that quality control methods are working as planned.",Technical
Quality Management,Quality management refers to practices designed to ensure that an product or service meets defined quality requirements.,Technical
Quality Management Systems,"Quality Management Systems refers to knowledge of techniques, policies, resources, and processes that ensure continuous improvement through meeting or exceeding customer expectations and requirements.",Technical
Query and Database Access Tools,"Query and Database Tools refers to the knowledge of database exploration tools; ability to use tools effectively to discover and explore data that can be used within applications such as ETL's, web applications, etc... (SQL, DBeaver, Teradata Studio, etc…)",Technical
Record Keeping,"Produces or maintains complete, accurate, and reliable documentation of business transactions.",Technical
Recruitment Planning,Recruitment Planning is the strategic process of forecasting an organization's hiring needs and creating a strategy to attract and retain the right talent to fulfill those needs.,Technical
Recruitment Strategies,"Recruitment Strategies refers to knowledge of methods to identify, acquire, and retain top talent for a business organization.",Technical
Regression Testing,"Regression testing validates whether a system, process, or software retains performance when updates or changes are introduced.",Technical
Regulatory Compliance,"Regulatory compliance refers to the processes by which organizations comply with all regulations, laws and policies that are applicable to them.",Technical
Regulatory Requirements,Regulatory Requirements are rules that a governmental entity imposes on an organization.,Technical
Relational Databases,"Relational Databases are digital databases in which data are organized into one or more tables of columns and rows, with a unique key identifying each row.",Technical
Resilience,Capacity to maintain composure and optimism in challenging circumstances and quickly recover from the impact of rejection or push-back.,Behavioral
Resource Management,"Resource Management is the process of scheduling and allocating an organization’s assets, equipment, facilities, workforce, and production materials efficiently to optimize profitability.",Technical
Resourcefulness,"Capacity to find creative solutions to problems or challenges with the tools available, even when the resources for doing so are not immediately apparent.",Behavioral
Risk Analysis,"Risk Analysis is assessing the potential for an event to impact a project, an investment, or an organization as a whole and developing strategies to mitigate the negative results of the event.",Technical
Risk Management,"Capability to identify, evaluate, and prioritize the effect of uncertainty on organization objectives and to coordinate and apply resources to minimize, monitor, or control the probability/impact of unfortunate events or to maximize the realization of opportunities.",Technical
Risk Mitigation,"Risk Mitigation is the identification, evaluation, and prioritization of risks followed by coordinated and economical application of resources to minimize, monitor, and control the probability or impact of unfortunate events or to maximize the realization of opportunities.",Technical
Root Cause Analysis,Root cause analysis is a method of problem-solving used for identifying the root causes of faults or problems.,Technical
Safety Assurance,"Capability to systematically identify, assess, and mitigate potential safety hazards of a product, service, or system, including ensuring compliance with safety standards and regulations, implementing safety controls, and continuously monitoring and improving safety practices to minimize risks and protect individuals from harm.",Technical
Safety Standards,"Safety standards are advisory or compulsory standards designed to ensure the safety of products, activities, and processes.",Technical
Safety Training,Safety Training is any form of compliance learning program designed to train employees on precautionary processes and procedures to mitigate risk or the chance of injury or fatality on the job to protect the organization and its people.,Technical
Sales Enablement,"Sales Enablement is providing sales representatives and sales support with tools, relevant content, and information to prepare them to engage with prospective buyers and to optimize the sales process.",Technical
Sales Management,Sales management is a business discipline focused on applying knowledge and best practices of sales techniques and the management of a sales operations to drive profit.,Technical
Sales Presentation,"Capability to effectively communicate the value, features, and benefits of a product or service to potential clients or customers to influence decision-making, build trust, and ultimately drive conversions or sales.",Technical
Sales Process,A sales process is a common framework that provides sales representatives with repeatable steps for turning potential leads into customers.,Technical
Salesforce,"Salesforce is a cloud-based customer relationship management service offering enterprise applications focused on customer service, marketing automation, analytics, and application development.",Technical
SAP Applications,"Capability to use a suite of software applications to streamline business processes in areas such as finance, human resources, supply chain, customer relationship, and more to improve efficiency, manage data, and drive decision-making.",Technical
Scalability,Scalability is the property of a system to handle a growing amount of work by adding resources to the system. ,Technical
Schematic Capture,Schematic capture is a step in the design cycle of electronic design automation at which the electronic diagram of the designed electronic circuit is created by a designer.,Technical
Scripting,Scripting is writing programming code that automates the execution of tasks in the runtime environment of a software application.,Technical
Scrum (Software Development),"Scrum is an agile framework for developing, delivering, and sustaining complex products, with an initial emphasis on development.",Technical
Search Engine Marketing,Search engine marketing is the process of making particular websites more visible in search engine results.,Technical
SEC Filing,SEC Filings are a legal process of compiling and submission of all materials with respect to applicable laws to governing bodies that are regulating business activities.,Technical
Self-Motivation,Capacity to maintain drive despite challenges.,Behavioral
Selling Techniques,"Selling techniques are methods sales professionals use to generate revenue, and drive brand preference and market share",Technical
Shareholder Communications,"Shareholder Communications refers to knowledge of information provided to investors about an organization’s strategy, goals, and stock performance.",Technical
Shipping and Receiving,"Shipping And Receiving is an operational business function that involves managing incoming and outgoing shipments of products, materials, and supplies.",Technical
Situational Awareness,"The perception of the elements in the environment within a volume of time and space, the comprehension of their meaning, and the projection of their status soon",Technical
Software Asset Management,"Capability to understand software licensing principles, identify software assets, and design/implement software asset management processes and tools to ensure software is efficiently used, costs are minimized, and compliance with licensing agreements and regulations is maintained.",Technical
Software Development Life Cycle,"Software development life cycle is the process of dividing software development work into smaller, parallel or sequential steps or subprocesses to improve design, product management, and project management.",Technical
Software Systems,"Capability to design, develop, and maintain complex computer programs and applications that facilitate various tasks and processes, enabling efficient and effective information management, task automation, and enhancement of productivity and functionality.",Technical
Standard Accounting Practices,"Interprets or applies knowledge of common financial principles, procedures, and standards to ensure accurate financial information and transparent financial reporting.",Technical
State Bar Membership,Qualified in the United States by a state bar association in all areas of law for conforming to the laws and professional conduct rules and continued legal education requirements to practice law as an attorney within a specific state.,Certification / License
Statistical Modeling,Statistical modeling is the use of mathematical models that embody sets of statistical assumptions concerning the generation of sample data.,Technical
Storytelling,Capacity to use stories and narratives to make content more personal and relatable.,Behavioral
Strategic Communication,Capacity to mindfully plan exchange of information internally and externally aligned with an organization's goals.,Behavioral
Strategic Planning,Strategic planning is the process of defining strategic goals as well as the decision-making that supports execution against those goals.,Technical
Strategic Procurement,"Strategic procurement is the process of identifying and selecting suppliers for goods and services, as well as managing budgets, to meet organizational objectives and reduce risk within the supply chain.",Technical
Strategic Sourcing,"Strategic Sourcing refers to knowledge of a procurement process that uses data collection, spend analysis, market research, negotiation, and contracting.",Technical
Stress Analysis,"Stress Analysis is the test/evaluation of endurance, threshold, and tolerance of material and structures subjected to forces to detect and prevent structural failures.",Technical
Succession Planning,Succession planning is a process for identifying and developing new leaders with the potential to fill key business leadership positions within the organization as they become available.,Technical
Supplier Performance Management,"Supplier performance management is a business practice that is used to measure, analyze, and manage the performance of a supplier in an effort to cut costs, alleviate risks, and drive continuous improvement.",Technical
Supplier Relationship Management,Supplier relationship management is the oversight of goods and/or services suppliers with the goal of maximizing value.,Technical
Supply And Demand,Supply and demand is an economic model which is used to determine the price of a traded item in a market.,Technical
Survey Research,"Capability to formulate research questions, select appropriate survey methods, develop survey instruments, and determine sample size and sampling method to gather data from a sample population for analysis and to draw meaningful conclusions in various fields.",Technical
System Administration,"Capability to manage the organization's hardware and software systems by allocating system resources, performing backups, managing user access, monitoring system security, and troubleshooting problems to ensure the system is available when needed.",Technical
System Architecture,"System architecture defines the structure, behavior, and views of a system as a conceptual model.",Technical
System Testing,"Capability to evaluate a complete and integrated system, including functional testing, performance testing, security testing, usability testing, compatibility testing, integration testing, and regression testing to reduce errors, improve quality, save costs, and improve customer satisfaction before completing final checks during acceptance testing.",Technical
Systems Design,"Systems design is the process of defining the architecture, modules, interfaces, and data for a system to satisfy specified requirements.",Technical
Systems Development Life Cycle,"A systems development life cycle is the end-to-end process by which an information system is designed, created, tested and deployed.",Technical
Systems Engineering,"Systems engineering is an interdisciplinary field of engineering and engineering management that focuses on how to design, integrate, and manage complex systems over their life cycles.",Technical
Tactfulness,Capacity to demonstrate consideration and the ability to avoid offending others in sensitive situations.,Technical
Talent Acquisition,Talent Acquisition is an ongoing workforce planning activity to find candidates for positions with specific skill sets to meet business output demand.,Technical
Talent Management,"The organized and strategic process of getting the right talent in the right roles and helping them grow to their optimal capabilities keeping organizational objectives in mind. This includes processes such as succession & talent planning, leadership development and workforce planning.",Technical
Talent Sourcing,Talent sourcing is the process of researching and networking with potential job candidates to convert individuals into job applicants for specific roles.,Technical
Tax Compliance,"Tax compliance involves observance of state, federal, and international tax laws and requirements set forth by government officials to ensure business alignment with mandates.",Technical
Tax Equalization,"Tax Equalization refers to knowledge of a compensation approach that neutralizes an employee's tax liability as a result of a global assignment or project. Using this approach, the employee pays approximately the same taxes as they would if they remained in their home country.",Technical
Tax Laws,"Tax law is the legal area of study that covers the understanding of existing tax laws as they apply to individuals, businesses, entities, and corporations where taxes must be paid.",Technical
Tax Planning,Tax planning involves devising strategies and tactics to minimizes one's tax liability.,Technical
Tax Research,Tax Research is examining governmental laws and regulations to resolve issues and answer questions related to taxation.,Technical
Technical Accounting,"Technical Accounting is the ability to use financial systems and technology to execute transactions, perform research on policies and regulations.",Technical
Technical Support,"Capability to oversee or support users of the organization's hardware, software, or other technology products, including installation, troubleshooting, recovering/resetting passwords, and setting up, configuring, and maintaining equipment.",Technical
Technical Training,"Technical Training is the ability to educate others to design, develop, implement, maintain, support or operate a technology relevant to the organization and role.",Technical
Telephone Skills,Telephone skills are a group of interpersonal and technical skills that allow for effective communication telephonically.,Technical
Test Planning,"Test planning is applying project management to developing a document that details the objectives, resourcing, and process for the overall test plan and each test scenario.",Technical
Test Strategy,A test strategy describes the testing activities within a software development cycle that are required to meet pre-defined quality assurance objectives.,Technical
Third-Party Logistics,Third-party logistics relates to the outsourcing of an organization's logistics and distribution services.,Technical
Thought Leadership,Capacity to deliver insight and innovative thinking in a specialized field.,Behavioral
Threat Assessment,Threat Assessment refers to the ability to evaluate the probability that an event or group of people will cause harm to an organization or individuals.,Technical
Time Management,"Capacity to plan and exercise conscious control of time spent on specific activities, especially to increase effectiveness, efficiency, and productivity.",Behavioral
Timelines,"A timeline is a visual representation of events, milestones or tasks listed in chronological order.",Technical
Tolerance Analysis,Tolerance analysis is the study of geometric variation in mechanical parts and their accumulated impact upon assemblies.,Technical
Trade Compliance,Trade Compliance is operating within regulatory mandates that oversee trade activities.,Technical
Training And Development,Training and development aims to improve the effectiveness of individuals within organizations with the goal of enhancing organization productivity.,Technical
Transportation Management Systems,A transportation management system provides oversight into transportation operations within a supply chain with the goal of enhancing efficiency.,Technical
Troubleshooting,Capacity to logically and systematically search for the source of a problem and makes the product or process operational.,Behavioral
Understanding Customer Needs,"Understanding Customer Needs is the knowledge of customer needs analysis principles, processes and skills; ability to recognize and be sensitive to the different perspectives and priorities of different customers, while also understanding and empathizing with the customer journey and insights to translate into requirements. Additionally, customer advocacy is a specialized form of customer service in which companies focus on what is deemed to be best for the customer and translate that need back to the teams that are building services, solutions or products. Focusing on being the voice of the customer to build services, solutions and products that deliver value",Technical
Value Propositions,"Value Propositions are values to be delivered, communicated, and acknowledged. It is also a belief from the customer about how value (benefit) will be delivered, experienced and acquired.",Technical
Variance Analysis,Variance Analysis refers to knowledge of the quantitative investigation of the difference between actual and planned performance.,Technical
Vendor Management,"Vendor Management is selecting and coordinating third-party service providers completing outsourced work for a company. It involves ensuring compliance with contractual obligations, on-time payments, and acceptable quality of work, along with managing the long-term relationship with the service provider.",Technical
Vendor Relationship Management,Vendor relationship management provides means for effective and efficient engagement with the service provider ecosystem.,Technical
Version Control,Version control is a method of tracking and managing changes.,Technical
Visual Design,"Visual Design is the selection and placement of aesthetic elements, such as text, colors, font, layout, and images, to create visually appealing interfaces and communication that optimize the user experience and drive conversion.",Technical
Vulnerability Assessments,"Capability to systematically evaluate computer systems, networks, or applications for security weaknesses and vulnerabilities, including known and potential risks, to identify and prioritize areas that require remediation or further security measures.",Technical
Vulnerability Management,"Vulnerability management is the cyclical practice of identifying, classifying, prioritizing, remediating, and mitigating software vulnerabilities.",Technical
Wage and Hour Laws,Wage And Hour Laws are regulations that govern wages rates a business can pay its employees and the hours for which an employer must compensate its employees.,Technical
Warehouse Operations,"Warehouse Operations refers to managing the tasks associated with a storage facility or distribution center, including space allocation, equipment planning, and movement of goods into and out of the facility.",Technical
Weather Graphics,"Capability to create clear and concise visual representations, such as maps, charts, diagrams, and animations, to provide weather information and data for making informed decisions regarding outdoor activities, travel, and safety precautions.",Technical
Weather Modeling,"Capability to use mathematical and computational techniques and create computer-based models simulating the Earth's atmospheric behavior, considering factors such as temperature, humidity, wind patterns, and air pressure to understand and predict weather patterns and generate future weather forecasts.",Technical
Weather Radar,"Weather Radar is an instrument used to locate precipitation, estimate its motion and intensity, and understand the precipitation type to forecast atmospheric conditions.",Technical
Weather Reports,"Capability to develop and communicate concise summaries of current and forecasted weather conditions, providing information about temperature, precipitation, wind speed and direction, humidity, and other factors to ensure individuals and organizations stay updated on current weather conditions and prepare for potential weather-related impacts.",Technical
Workers' Compensation,Workers' compensation or workers' comp is a form of insurance providing wage replacement and medical benefits to employees injured in the course of employment in exchange for mandatory relinquishment of the employee's right to sue his or her employer for the negligence.,Technical
Workflow Management,"Capability to analyze current workflows, identify bottlenecks, streamline procedures, implement efficient systems, monitor progress, allocate resources, and adapt processes to ensure work moves smoothly from one stage to the next while achieving desired outcomes.",Technical
Workplace Safety,"Workplace Safety refers to policies, standards, and training concerned with the safety and welfare of people by taking measures to reduce occupational risk and work-related injuries and illnesses.",Technical
Writing,"Writing is the expressing knowledge, ideas, and information organized using grammar and punctuation rules.",Technical
